"1QB Rank","SF/TE Prem","Player","Team","Position","Age","1QB Pos Rk","SF/TE Pr Pos Rk","Status","Notes"
"25","46","Travis Etienne","JAC","RB","24.4","RB06","RB06","Veteran","Ascending offense, but some role concerns with Bigsby in town as the potentially preferred receiver."
"161","47","Kenny Pickett","PIT","QB","25.1","QB18","QB18","Veteran","Already 25 in 2023, but has franchise stability and great surrounding talent. Runs some too."
"26","48","DJ Moore","CHI","WR","26.2","WR19","WR19","Veteran","Talented young player, but passing volume is not exciting in Chicago."
"27","49","Austin Ekeler","LAC","RB","28.1","RB07","RB07","Veteran","Will stay with the Chargers in an identical backfield situation as 2022."
"28","50","Kenneth Walker III","SEA","RB","22.7","RB08","RB08","Veteran","Gale Sayers 2.0, but a new challenger incoming with strong draft capital."
"30","51","Saquon Barkley","NYG","RB","26.4","RB09","RB09","Veteran","Expected to return (eventually) to the Giants on a new contract for an ascending offense."
"31","52","Nick Chubb","CLE","RB","27.5","RB10","RB10","Veteran","One of the best runners in the NFL -- Watson improving would make him even tougher."
"178","53","Kirk Cousins","MIN","QB","34.9","QB19","QB19","Veteran","Underappreciated but stable. Entering another contract year in 2023."
"180","54","Derek Carr","NO","QB","32.3","QB20","QB20","Veteran","Downgrade in overall weapons, but picks up the dome and a better OL."
"32","55","Quentin Johnston","LAC","WR","21.8","WR20","WR20","Rookie","The young receiver Herbert desperately needs to develop with for long-term success."
"33","56","Jordan Addison","MIN","WR","21.4","WR21","WR21","Rookie","Biletnekoff Award winner who steps into a high-volume role rigth away."
"34","57","Jerry Jeudy","DEN","WR","24.2","WR22","WR22","Veteran","Just 24 in 2023. Bit of a ""can't quit you"" all-star, but Sean Payton should get him going."
"35","58","Zay Flowers","BAL","WR","22.8","WR23","WR23","Rookie","Electric receiver with an underdog mentality -- think his addition portends more passing from Baltimore."
"36","59","Jameson Williams","DET","WR","22.3","WR24","WR24","Veteran","Burner who played sparingly as a rookie but still flashed immense talent. Will serve a 6-game suspension to start 2023."
"37","60","Marquise Brown","ARI","WR","26.1","WR25","WR25","Veteran","Clearly a stud when healthy, but has had some injuries. No real competition."
"39","61","Josh Jacobs","LV","RB","25.4","RB11","RB11","Veteran","Dominant 2022 in terms of workload and production. Tagged for 2023."
"40","62","Tony Pollard","DAL","RB","26.2","RB12","RB12","Veteran","Free of Zeke, and Dallas did not add a secondary RB of note in the draft."
"69","63","Travis Kelce","KC","TE","33.7","TE05","TE05","Veteran","Turns 34 next season but continues to dominate the position."
"42","64","Christian Watson","GB","WR","24.1","WR26","WR26","Veteran","Losing Rodgers could affect trajectory, but Watson is the team's best playmaker regardless. "
"71","65","2025 1st Round Draft Pick","NFL","Pick",,"Pick02","Pick02","Pick","These kinds of assets will have wide-ranging values depending on your league."
"46","66","Devon Achane","MIA","RB","21.7","RB13","RB13","Rookie","High-octane player landing in a high-octane offense. Immense PPR ceiling despite smaller stature."
"47","67","Dameon Pierce","HOU","RB","23.4","RB14","RB14","Veteran","Workhorse as a rookie, no competition added in the draft is a good sign."
"48","68","George Pickens","PIT","WR","22.3","WR27","WR27","Veteran","Every catch is a highlight -- needs to add volume in Year 2."
"49","69","Michael Pittman Jr.","IND","WR","25.7","WR28","WR28","Veteran","Potential alpha if IND can find a QB. Turns 26 in 2023."
"50","70","Deebo Samuel","SF","WR","27.5","WR29","WR29","Veteran","Ceiling takes a hit with CMC in town. Lance as the starter would be another minus."
"78","71","Michael Mayer","LV","TE","22.0","TE06","TE06","Rookie","Should start from Day 1 and be an immediate target."
"79","72","Pat Freiermuth","PIT","TE","24.7","TE07","TE07","Veteran","Great two-way TE who should have more opportunity going forward."
"81","73","Chigoziem Okonkwo","TEN","TE","23.8","TE08","TE08","Veteran","Third in the NFL in YPRR, likely sees his chances increase in 2023."
"53","74","Javonte Williams","DEN","RB","23.2","RB15","RB15","Veteran","Injury seems more complicated than Breece plus new coaching staff and competition."
"54","75","Gabriel Davis","BUF","WR","24.3","WR30","WR30","Veteran","Highly boom/bust but in the right offense for it. Entering a contract year."
"55","76","Amari Cooper","CLE","WR","29.0","WR31","WR31","Veteran","Entering age 29 season, should take a step forward with Watson."
"222","77","Jordan Love","GB","QB","24.7","QB21","QB21","Veteran","Provided that he isn't a disaster, Love should start the next 2 seasons for GB with young weapons around him."
"56","78","Rashod Bateman","BAL","WR","23.6","WR32","WR32","Veteran","Injury concerns continue into his third off-season."
"225","79","Mac Jones","NE","QB","24.8","QB22","QB22","Veteran","Some job security risk here with Bill on the hot seat."
"57","80","Brandon Aiyuk","SF","WR","25.3","WR33","WR33","Veteran","Extremely talented player, but there is a talent logjam right now in SF."
"85","81","Sam LaPorta","DET","TE","22.5","TE09","TE09","Rookie","Elite athlete at the position who should be an immediate starter."
"59","82","Jahan Dotson","WFT","WR","23.3","WR34","WR34","Veteran","Solid first season and has the preferred draft capital."
"61","83","Chris Godwin","TB","WR","27.3","WR35","WR35","Veteran","Major QB questions entering 2023, but still in the prime of his career."
"88","84","Greg Dulcich","DEN","TE","23.3","TE10","TE10","Veteran","Flashed as an excellent pass catcher immediately as a rookie."
"62","85","Derrick Henry","TEN","RB","29.5","RB16","RB16","Veteran","Seems like Titans are shopping Henry, but they will likely be a poor 2023 offense in what looks like a tear down."
"63","86","Cam Akers","LAR","RB","24.0","RB17","RB17","Veteran","Averaged 18 PPR PPG the last 6 weeks of the season -- perhaps finally fully healthy."
"64","87","Rhamondre Stevenson","NE","RB","25.4","RB18","RB18","Veteran","Expecting the 2022 rookies to play more, but there is definitely elite workload upside here."
"242","88","Russell Wilson","DEN","QB","34.6","QB23","QB23","Veteran","Payton seems to genuinly dislike Russ -- move to Stidham would not surprise."
"65","89","Najee Harris","PIT","RB","25.3","RB19","RB19","Veteran","The second-half fantasy scoring was promising for an offense that should improve."
"250","90","Geno Smith","SEA","QB","32.7","QB24","QB24","Veteran","Three-year deal with Seattle is front-loaded, but they continue to add pass catchers."
"251","91","Jared Goff","DET","QB","28.7","QB25","QB25","Veteran","Addition of Hooker will not be a threat to 2023 production."
"254","92","Matthew Stafford","LAR","QB","35.4","QB26","QB26","Veteran","Adament he won't retire and has some big money coming. Still feels like a fair amount of health risk here."
"67","93","James Cook","BUF","RB","23.8","RB20","RB20","Veteran","Saw expanded volume down the stretch of 2022, and Harris won't play pass downs."
"68","94","D'Andre Swift","DET","RB","24.5","RB21","RB21","Veteran","""Free"" in Philly, but the landing spot is not as enticing as one may think given competition and committee approach."
"99","95","David Njoku","CLE","TE","27.0","TE11","TE11","Veteran","Had his best year since 2018 fresh off a big contract."
"100","96","Dallas Goedert","PHI","TE","28.5","TE12","TE12","Veteran","Third option for Philly, but a strong producer at an overall weak position."
"70","97","Calvin Ridley","JAC","WR","28.5","WR36","WR36","Veteran","Won't be 29 until the end of the season. No football in two years is concerning, but ascending offense."
"72","98","Mike Evans","TB","WR","29.9","WR37","WR37","Veteran","HOF level talent finally hitting 30 this summer. Will he stay through this Baker season."
"103","99","2024 2nd Round Draft Pick","NFL","Pick",,"Pick03","Pick03","Pick","2024 class looks strong, with depth leaking into Round 2"
"73","100","DeAndre Hopkins","FA","WR","31.1","WR38","WR38","Veteran","Expecting a decent role wherever he winds up."
"75","101","Terry McLaurin","WFT","WR","27.8","WR39","WR39","Veteran","Rebounded well off a shaky start. Turns 28 in 2023."
"76","102","Mike Williams","LAC","WR","28.7","WR40","WR40","Veteran","29 this season and coming off of what could end up being a serious injury. Has a rough injury history."
"77","103","Jalin Hyatt","NYG","WR","21.8","WR41","WR41","Rookie","Three-year prospect with a breakout and Biletnikoff. Could be New York's top WR from the jump."
"80","104","Kadarius Toney","KC","WR","24.4","WR42","WR42","Veteran","Positive buzz for Toney is nothing new -- a full season of health would be."
"82","105","Joe Mixon","CIN","RB","26.9","RB22","RB22","Veteran","Future remains unclear, though the team made just a Day 3 addition in the draft."
"83","106","J.K. Dobbins","BAL","RB","24.5","RB23","RB23","Veteran","Baltimore seemed to lean into him as the bellcow down the stretch. No draft competition added."
"84","107","Miles Sanders","CAR","RB","26.2","RB24","RB24","Veteran","Good money and potential role. Some concern that Duce will want to mix it up more than we'd like."
"112","108","Darren Waller","NYG","TE","30.8","TE13","TE13","Veteran","Should be the immediate top target for Daniel Jones. 31 this season."
"115","109","George Kittle","SF","TE","29.7","TE14","TE14","Veteran","Will turn 30 in 2023. Continues to score TDs despite struggling for volume overall."
"289","110","Aaron Rodgers","NYJ","QB","39.6","QB27","QB27","Veteran","Biggest question remaining is if Rodgers will play two years or one."
"86","111","Christian Kirk","JAC","WR","26.6","WR43","WR43","Veteran","Produced at a high level in first year with the big contract -- now has Ridley for competition."
"117","112","Jelani Woods","IND","TE","24.7","TE15","TE15","Veteran","Total freak who will benefit from expanded playing time."
"90","113","Josh Downs","IND","WR","21.9","WR44","WR44","Rookie","The lone speed piece the Colts have for this new offense."
"91","114","Alexander Mattison","MIN","RB","25.0","RB25","RB25","Veteran","Quality second contract and expected starter with Cook gone. Will he be a workhorse?"
"92","115","Aaron Jones","GB","RB","28.6","RB26","RB26","Veteran","Potential cut candidate long-term."
"298","116","Sam Howell","WFT","QB","22.8","QB28","QB28","Veteran","Strong collegiate profile for a Day 3 pick -- will start to begin 2023."
"299","117","Jimmy Garoppolo","LV","QB","31.7","QB29","QB29","Veteran","Will start for all of 2023, but 2024 comes with questions."
"300","118","Desmond Ridder","ATL","QB","23.8","QB30","QB30","Veteran","Heinicke a legit threat to start games, and 2024 is not lock unless Ridder wows."
"93","119","Jayden Reed","GB","WR","23.2","WR45","WR45","Rookie","True freshman breakout, should be the slot receiver right away."
"94","120","Skyy Moore","KC","WR","22.8","WR46","WR46","Veteran","Hardman and JuJu gone, there should be many more chances for Moore in Year 2."
"95","121","Rashee Rice","KC","WR","22.2","WR47","WR47","Rookie","Mahomes campaigned for him, but the profile is not overly impressive. One of the few ""big guys"" on KC."
"96","122","Elijah Moore","CLE","WR","23.2","WR48","WR48","Veteran","Change of scenery could be nice here, but the competition is fairly stiff."
"97","123","Marvin Mims","DEN","WR","21.3","WR49","WR49","Rookie","Denver appears to be a little jammed up at WR, but have been looking to trade someone all off-season."
"101","124","Rachaad White","TB","RB","24.5","RB27","RB27","Veteran","Should see increased volume with Fournette gone."
"102","125","Zach Charbonnet","SEA","RB","22.5","RB28","RB28","Rookie","Hoping he is the 1B to Walker based on draft capital. Needs injury to hit any kind of ceiling."
"105","126","David Montgomery","DET","RB","26.1","RB29","RB29","Veteran","Excellent landing spot on a rising offense, in a dome, but Gibbs addition is heartbreaking."
"106","127","Tyjae Spears","TEN","RB","22.0","RB30","RB30","Rookie","Awesome receiving back who should actually get Henry off the field some as a rookie."
"107","128","James Conner","ARI","RB","28.2","RB31","RB31","Veteran","Likely to stick as the starter -- we will see if another back can challenge for work."
"133","129","2025 2nd Round Draft Pick","NFL","Pick",,"Pick04","Pick04","Pick","Leone's work has shown us that second-round picks tend to be undervalued."
"137","130","Luke Musgrave","GB","TE","22.8","TE16","TE16","Rookie","Should start right away -- some concerns over pass volume."
"108","131","Isiah Pacheco","KC","RB","24.3","RB32","RB32","Veteran","Didn't gain competition from the draft, but McKinnon back saps some of the receiving upside we saw late in the year."
"109","132","Dalvin Cook","FA","RB","27.9","RB33","RB33","Veteran","May stick somewhere as an early-down ball-carrier, but not expecting a workhorse role."
"110","133","Alvin Kamara","NO","RB","27.9","RB34","RB34","Veteran","JWill is the toughest competition Kamara has had in years, and he still has a potential suspension looming"
"111","134","Brandin Cooks","DAL","WR","29.8","WR50","WR50","Veteran","Solid athlete with good draft capital who finds himself in a position to start."
"113","135","JuJu Smith-Schuster","NE","WR","26.6","WR51","WR51","Veteran","Patriots not an ideal landing spot, although there is some target upside depending on who else gets added."
"114","136","Diontae Johnson","PIT","WR","27.0","WR52","WR52","Veteran","Still not sure how good he is given career efficiency -- Steelers don't seem sure either."
"116","137","Jakobi Meyers","LV","WR","26.6","WR53","WR53","Veteran","Should be the second-leading target earner behind Adams."
"118","138","Keenan Allen","LAC","WR","31.2","WR54","WR54","Veteran","Entering a contract year with the Chargers."
"120","139","Nico Collins","HOU","WR","24.3","WR55","WR55","Veteran","Some doubt about fit creeping in with Slowik RAC system."
"122","140","Tyquan Thornton","NE","WR","22.9","WR56","WR56","Veteran","Major OC upgrade and no real competition on the outside."
"123","141","Jonathan Mingo","CAR","WR","22.2","WR57","WR57","Rookie","One of the biggest risers during the draft process. The lone young piece this new staff has invested in."
"124","142","Brian Robinson Jr.","WFT","RB","24.3","RB35","RB35","Veteran","Could see Washington moving on from Gibson in some capacity -- Robinson is the bellcow."
"126","143","Kendre Miller","NO","RB","21.1","RB36","RB36","Rookie","Three-year prospect who wound up a Day 2 pick. Selection indicates some potential to move on from Kamara."
"125","144","Joshua Palmer","LAC","WR","23.8","WR58","WR58","Veteran","Last potential year for Allen could lead to an expanded role for Palmer."
"300","145","Trey Lance","SF","QB","23.1","QB30","QB31","Veteran","Seems like a dog to Purdy right now. Could he be traded?"
"152","146","Evan Engram","JAC","TE","28.8","TE17","TE17","Veteran","Should be back on the franchise tag. Has some more competition than in 2022."
"300","147","Brock Purdy","SF","QB","23.5","QB30","QB32","Veteran","Has played impressively after being Mr. Irrelevant. Does SF have their QB of the future here?"
"300","148","Ryan Tannehill","TEN","QB","34.9","QB30","QB33","Veteran","May not return to TEN in 2023, and is a low ceiling QB."
"128","149","Tyler Lockett","SEA","WR","30.8","WR59","WR59","Veteran","Entering Age 31 season, but continues to produce at a solid level for fantasy with spike weeks."
"162","150","Trey McBride","ARI","TE","23.6","TE18","TE18","Veteran","Experienced pass-catcher who hopefully garners more opportunity with new coaching staff."
"165","151","Darnell Washington","PIT","TE","21.9","TE19","TE19","Rookie","Fell due to perceived medical issues, but still an absolute freakshow at the position."
"129","152","Courtland Sutton","DEN","WR","27.7","WR60","WR60","Veteran","28 in 2023 and lacks any kind of career production."
"130","153","A.J. Dillon","GB","RB","25.2","RB37","RB37","Veteran","Could see a boost if Jones is cut. Better receiving ability than many expected coming out."
"132","154","Antonio Gibson","WFT","RB","25.0","RB38","RB38","Veteran","Some chance Washington moves on here and Gibson is able to flourish elsewhere."
"131","155","Donovan Peoples-Jones","CLE","WR","24.4","WR61","WR61","Veteran","Had a bit of a breakout 2022. Can this passing game improve?"
"134","156","Wan'Dale Robinson","NYG","WR","22.5","WR62","WR62","Veteran","Looked like he was coming alive prior to injury -- Giants added more help."
"135","157","Darnell Mooney","CHI","WR","25.7","WR63","WR63","Veteran","Seems to be in limbo a bit coming off injury and Claypool in town. Free agent after 2023."
"136","158","Alec Pierce","IND","WR","23.2","WR64","WR64","Veteran","Has made some long plays, but needs better QB play in order to break out."
"138","159","Romeo Doubs","GB","WR","23.2","WR65","WR65","Veteran","Made some great freelance plays with Rodgers. We will see if he can develop with Love."
"140","160","Cedric Tillman","CLE","WR","23.2","WR66","WR66","Rookie","Big WR who could be the long-term replacement for DPJ."
"174","161","Dalton Schultz","HOU","TE","27.0","TE20","TE20","Veteran","Not sure he will see the same kind of usage he received in Dallas."
"141","162","John Metchie","HOU","WR","23.0","WR67","WR67","Veteran","Expected to return in 2023 -- should be the opening day slot with better QB play."
"300","163","Hendon Hooker","DET","QB","25.5","QB30","QB34","Rookie","Draft capital was underwhelming, though some chance to start in the future for Detroit is enticing."
"176","164","Isaiah Likely","BAL","TE","22.6","TE21","TE21","Veteran","Talent seems to be there, but clearly stuck behind Andrews for now."
"142","165","Khalil Shakir","BUF","WR","23.4","WR68","WR68","Veteran","With McKenzie cut, Shakir has a chance to earn a lot more playing time in 2023."
"181","166","Irv Smith Jr.","CIN","TE","24.9","TE22","TE22","Veteran","Appears uncontested in terms of his pass-catching role for Cincy."
"186","167","Luke Schoonmaker","DAL","TE","24.8","TE23","TE23","Rookie","Solid athlete with good draft capital who finds himself in a position to start."
"190","168","Tucker Kraft","GB","TE","22.7","TE24","TE24","Rookie","Second TE drafted by GB. Conceivable he beats out Musgrave."
"143","169","Roschon Johnson","CHI","RB","22.4","RB39","RB39","Rookie","Bit of a mystery box prospect after playing behind Bijan. Now part of a mystery box backfield."
"145","170","Khalil Herbert","CHI","RB","25.2","RB40","RB40","Veteran","Weird three-way committee now after the draft."
"144","171","Michael Thomas","NO","WR","30.3","WR69","WR69","Veteran","In a surprise twist, he will stick around in NO."
"300","172","Baker Mayfield","TB","QB","28.2","QB30","QB35","Veteran","Had some moments last year, and the weapons in TB are great."
"146","173","Jamaal Williams","NO","RB","28.2","RB41","RB41","Veteran","Should split pretty thoroughly with Kamara, and would be the primary beneficiery of a suspension."
"147","174","Tyler Scott","CHI","WR","21.7","WR70","WR70","Rookie","3-year speedster who presents arbitrage on Hyatt. Could give the Bears some juice."
"148","175","Tyler Boyd","CIN","WR","28.6","WR71","WR71","Veteran","Clear third option who will have some spike weeks in that offense. Entering final year of his deal."
"149","176","Tyler Allgeier","ATL","RB","23.2","RB42","RB42","Veteran","Likely complete dust with Bijan in town, but could potentially earn some work still in this run-heavy attack."
"150","177","Allen Lazard","NYJ","WR","27.6","WR72","WR72","Veteran","Should be the Jets' WR2/3 with Rodgers."
"151","178","Kenny Gainwell","PHI","RB","24.3","RB43","RB43","Veteran","Swift trade nukes the optimism here, but could still produce in his committee role from last year."
"153","179","Zay Jones","JAC","WR","28.3","WR73","WR73","Veteran","Awesome first year in Jacksonville, but now gets some added WR competition in Ridley."
"194","180","2024 3rd Round Draft Pick","NFL","Pick",,"Pick05","Pick05","Pick","Potential ammo to secure your favorite current-year darts."
"199","181","Cole Kmet","CHI","TE","24.3","TE25","TE25","Veteran","Need to see this offense throw more for Kmet to have any kind of return."
"200","182","Juwan Johnson","NO","TE","26.8","TE26","TE26","Veteran","Foster Moreau addition adds some uncertainty to his usage."
"154","183","Tank Bigsby","JAC","RB","21.8","RB44","RB44","Rookie","An excellent complement to Etienne -- could potentially play a good bit."
"202","184","Cade Otton","TB","TE","24.2","TE27","TE27","Veteran","Was an every-down player down the stretch."
"203","185","Tyler Higbee","LAR","TE","30.5","TE28","TE28","Veteran","Entering a contract year at age 30 with a lot of potential changes inbound for LAR."
"155","186","Damien Harris","BUF","RB","26.4","RB45","RB45","Veteran","Should play on early downs and in goal-line situations, but Josh Allen is notably used in that role as well."
"156","187","Rondale Moore","ARI","WR","23.1","WR74","WR74","Veteran","Took a big step forward prior to injury -- new coaching staff adds questions to role."
"157","188","Pierre Strong","NE","RB","24.6","RB46","RB46","Veteran","Expecting a role increase in Year 2 and showed some pop."
"158","189","Chase Claypool","CHI","WR","25.0","WR75","WR75","Veteran","Still feel he is a bit of a sleeping giant, but the Bears need to throw more for it to matter."
"159","190","Samaje Perine","DEN","RB","27.8","RB47","RB47","Veteran","Chose Denver over Cincy, and Javonte is coming off a major injury."
"163","191","Clyde Edwards-Helaire","KC","RB","24.2","RB48","RB48","Veteran","Entering a contract year assuming the fifth-year option is not picked up."
"164","192","Nathaniel Dell","HOU","WR","23.7","WR76","WR76","Rookie","Tore up the Senior Bowl, but at 165 pounds it's unclear where he might fit with Houston."
"167","193","Ezekiel Elliott","FA","RB","27.9","RB49","RB49","Veteran","May find some work in scoring areas for a new team, but unlikely to command the same work he had in Dallas."
"166","194","David Bell","CLE","WR","22.5","WR77","WR77","Veteran","Could be a quick death for Bell's value with Moore in town."
"168","195","DJ Chark Jr.","DET","WR","26.8","WR78","WR78","Veteran","Believe there is still some talent here. Hopefully can click with new QB."
"169","196","Leonard Fournette","FA","RB","28.5","RB50","RB50","Veteran","Similar deal as Zeke -- all comes down to landing spot and opportunity, but the juice is lacking."
"170","197","D'Onta Foreman","CHI","RB","27.2","RB51","RB51","Veteran","Coming off two straight seasons of quality production, could earn a strong role in Chicago."
"171","198","Sean Tucker","TB","RB","21.7","RB52","RB52","Rookie","Talented prospect wound up a UDFA due to a heart issue flagged at the Combine."
"210","199","2025 3rd Round Draft Pick","NFL","Pick",,"Pick06","Pick06","Pick","There will be some cost to doing business when dealing assets this far out for someone who can produce now."
"172","200","Hunter Renfrow","LV","WR","27.5","WR79","WR79","Veteran","Entering Age 28 season, not really seeing a ceiling here."
"300","201","Sam Darnold","SF","QB","26.1","QB30","QB36","Veteran","Weird situation, the best QB3 in the league could definitely see starts depending on what happens with Lance/Purdy."
"173","202","Rashid Shaheed","NO","WR","24.8","WR80","WR80","Veteran","Made tons of long plays and saw full playing time down the stretch in his rookie season."
"175","203","Curtis Samuel","WFT","WR","26.9","WR81","WR81","Veteran","Cut candidate who could be a slot somewhere else."
"177","204","Michael Gallup","DAL","WR","27.3","WR82","WR82","Veteran","Came on much stronger late in the year once he was fully healthy."
"179","205","Marquez Valdes-Scantling","KC","WR","28.7","WR83","WR83","Veteran","Should continue to be a reliable target with inconsistent usage."
"182","206","Tim Patrick","DEN","WR","29.6","WR84","WR84","Veteran","The veteran was well-regarded in league circles prior to injury."
"183","207","Elijah Mitchell","SF","RB","25.2","RB53","RB53","Veteran","Stuck behind CMC, but they have been willing to give him work still."
"184","208","Jerick McKinnon","KC","RB","31.2","RB54","RB54","Veteran","Back in KC where he was a solid RB2 in 2022."
"187","209","Zamir White","LV","RB","23.8","RB55","RB55","Veteran","Jacobs return should mean another minimal role for White."
"185","210","Odell Beckham Jr.","BAL","WR","30.7","WR85","WR85","Veteran","Has a chance to capture decent volume at Bateman's expense, but unclear what he will look like after time away."
"188","211","Zach Evans","LAR","RB","22.3","RB56","RB56","Rookie","Fell in the draft supposedly due to character concerns. Now behind a presumed bellcow."
"191","212","Devin Singletary","BUF","RB","25.8","RB57","RB57","Veteran","Wasn't impressive last season, not sure he does much more than spell Pierce."
"189","213","Adam Thielen","CAR","WR","32.9","WR86","WR86","Veteran","Should be the primary option for Bryce as a rookie."
"192","214","Jerome Ford","CLE","RB","23.8","RB58","RB58","Veteran","Hunt likely leaving opens up opportunity here."
